Fecha,Version,Cambio,Archivo,Notas
2026-05-08,1.0,Creacion inicial del sitio web,index.html + productos.html,Sitio desplegado en milenashoes.online via GitHub Pages
2026-05-08,1.1,Catalogo ampliado de 59 a 157 productos,productos.html,Se leyo LISTA ZAPATILLAS.xlsx y se actualizo array CATALOG completo
2026-05-08,1.1,Actualizacion de contadores y meta tags,productos.html,Textos actualizados de 59 a 157 referencias en todo el HTML
2026-05-08,1.2,Reconexion de productos.html con catalogo.json,productos.html,La pagina ahora carga desde catalogo.json (generado por el script). Fallback al array hardcodeado si el JSON falla
2026-05-08,1.2,Script actualizar-inventario.ps1 corregido,actualizar-inventario.ps1,Ahora tambien sube fotos nuevas (*.jpeg/*.jpg/*.png/*.webp) al hacer push
2026-05-08,1.2,Creacion de CLAUDE.md,CLAUDE.md,Archivo de contexto del proyecto para futuras sesiones de Claude Code
2026-05-08,1.2,Creacion de CHANGELOG.csv,CHANGELOG.csv,Este archivo — historial de cambios del proyecto
2026-05-14,1.3,Hero: cambio de frase de precio y eliminacion boton Arma tu Kit,index.html,"Frase actualizada a 'Zapatos deportivos desde $130.000 COP'. Boton Kits eliminado del nav y hero"
2026-05-14,1.3,Estadistica Nuestra Historia: '$185K Kit completo' reemplazada por '1.1 Replicas exactas',index.html,Stat cell actualizada en la seccion sobre-nosotros
2026-05-14,1.3,Reordenamiento de secciones pagina principal,index.html,"Nuevo orden: Hero > Disponibles ahora > Calzado deportivo > Nuestra historia > Dias Celebres > Galeria > Testimonios > Contacto"
2026-05-14,1.3,Seccion Dias Celebres (reemplaza Kit Builder),index.html,"Banner tipo imagen intercambiable. Solo reemplazar assets/banner-festivo.jpg para cada festividad. Placeholder inicial: galeria-1.jpeg"
2026-05-14,1.3,Catalogo actualizado a 169 productos disponibles,productos.html,Leido de LISTA ZAPATILLAS.xlsx. 176 en Excel (7 marcados N). Hardcoded CATALOG y counters actualizados
2026-05-14,1.3,Botones de producto rediseniados,productos.html,"Boton WhatsApp: solo icono (sin texto). Ambos botones en una sola linea horizontal. Tamano reducido"
2026-05-14,1.3,Lightbox de fotos de producto,productos.html,"Click en imagen abre vista ampliada con panel lateral: marca / referencia / talla / precio / boton Agregar al carrito / boton WhatsApp. Navegacion con flechas y teclado"
2026-05-14,1.3,Miniaturas generadas para productos 162-176,assets-thumb/,"14 nuevas miniaturas 400x400px generadas con .NET System.Drawing desde fotos originales"
2026-05-14,1.3,make-catalogo.ps1 reescrito,make-catalogo.ps1,"Ahora lee el Excel automaticamente (sin array hardcodeado). Rutas relativas al script. Conteo dinamico en portada del PDF"
2026-05-14,1.3,actualizar-inventario.ps1 actualizado,actualizar-inventario.ps1,git add ahora incluye assets-thumb/*.jpeg y assets-thumb/*.jpg
